,surname,frequency
0,NOWAK,0.019999464862791812
1,KOWALSKA,0.013521728057144727
2,WIŚNIEWSKA,0.010843465429640854
3,WÓJCIK,0.009738902592145177
4,KOWALCZYK,0.009639604910181183
5,KAMIŃSKA,0.009335369497377332
6,LEWANDOWSKA,0.009243999774053178
7,ZIELIŃSKA,0.008920935459479707
8,SZYMAŃSKA,0.008699745413428179
9,DĄBROWSKA,0.008670808364392763
10,WOŹNIAK,0.008630573974295576
11,KOZŁOWSKA,0.007385884467840731
12,MAZUR,0.0069857207554948186
13,JANKOWSKA,0.006775431652573069
14,KWIATKOWSKA,0.006581593063828986
15,WOJCIECHOWSKA,0.006518169394710268
16,KRAWCZYK,0.006267645901691331
17,KACZMAREK,0.006071428925355296
18,PIOTROWSKA,0.006023861173516258
19,GRABOWSKA,0.005740833050073978
20,PAWŁOWSKA,0.005461570706985622
21,MICHALSKA,0.005381300125757244
22,KRÓL,0.005372381172287424
23,ZAJĄC,0.005315498069046574
24,WIECZOREK,0.004975190444431452
25,JABŁOŃSKA,0.004965280496131651
26,WRÓBEL,0.004898091046659009
27,NOWAKOWSKA,0.004872523380045526
28,MAJEWSKA,0.004837243964098239
29,OLSZEWSKA,0.004716937191738671
30,JAWORSKA,0.004652126129857981
31,ADAMCZYK,0.00464717115570808
32,MALINOWSKA,0.004620810693230613
33,STĘPIEŃ,0.004569873558969643
34,DUDEK,0.004518738225742677
35,GÓRSKA,0.004493170559129193
36,NOWICKA,0.004465819101821746
37,WITKOWSKA,0.0043835665309334085
38,PAWLAK,0.0043599808539798845
39,SIKORA,0.004352647492238033
40,WALCZAK,0.004298737373487123
41,RUTKOWSKA,0.004286250838629375
42,MICHALAK,0.004167529657997774
43,SZEWCZYK,0.004130070053424531
44,OSTROWSKA,0.004122538492716684
45,BARAN,0.004048412079434182
46,TOMASZEWSKA,0.003954663968518076
47,ZALEWSKA,0.0038585374700100187
48,WRÓBLEWSKA,0.0038458527361862754
49,PIETRZAK,0.0038347535940904997
50,JASIŃSKA,0.003788573235013433
51,MARCINIAK,0.003762807369433954
52,SADOWSKA,0.003716825209322883
53,JAKUBOWSKA,0.003711870235172983
54,ZAWADZKA,0.0036728250388717723
55,DUDA,0.003651815948476197
56,WŁODARCZYK,0.0035138694681429846
57,CHMIELEWSKA,0.003510500085721053
58,BORKOWSKA,0.0034916711839514335
59,BĄK,0.0034892927963594816
60,WILK,0.003431418698288651
61,SOKOŁOWSKA,0.0034078330213351275
62,SZCZEPAŃSKA,0.003359868871564097
63,SAWICKA,0.003321814670092866
64,LIS,0.003297039799343367
65,KUCHARSKA,0.003228859355040745
66,KALINOWSKA,0.0031882285670115657
67,MACIEJEWSKA,0.003174552838357842
68,MAZUREK,0.0031632554972960704
69,KUBIAK,0.003148786972778363
70,WYSOCKA,0.003147201381050395
71,KOŁODZIEJ,0.003042948724936502
72,CZARNECKA,0.002999741350349375
73,KAŹMIERCZAK,0.00297179529614394
74,URBAŃSKA,0.002826713653034872
75,KRUPA,0.002794605420543521
76,SIKORSKA,0.0027844972732777255
77,SOBCZAK,0.0027837044774137415
78,KRAJEWSKA,0.0027674521622020696
79,GŁOWACKA,0.002766064769440098
80,ZAKRZEWSKA,0.002748028663534462
81,WASILEWSKA,0.0027056140848113197
82,ZIÓŁKOWSKA,0.0027036320951513595
83,LASKOWSKA,0.0027002627127294277
84,KOZAK,0.002685001392347736
85,GAJEWSKA,0.0026620103122922006
86,SZULC,0.0026594337257342528
87,MRÓZ,0.0026580463329722807
88,MAKOWSKA,0.002649523777434453
89,BRZEZIŃSKA,0.0026100821832012503
90,PRZYBYLSKA,0.00260810019354129
91,KACZMARCZYK,0.0026047308111193583
92,BARANOWSKA,0.002591451480397627
93,SZYMCZAK,0.002575595563117947
94,ADAMSKA,0.0025611270386002396
95,BŁASZCZYK,0.002538928754408688
96,BOROWSKA,0.0025284242092109004
97,GÓRECKA,0.0025147484805571768
98,KANIA,0.002507415118815325
99,SZCZEPANIAK,0.0025070187208833332
100,JANIK,0.002489973609807678
101,LESZCZYŃSKA,0.0024889826149776975
102,CZERWIŃSKA,0.002475306886323974
103,CHOJNACKA,0.0024675771266501304
104,LIPIŃSKA,0.002444982444526587
105,WESOŁOWSKA,0.0024424058579686388
106,MIKOŁAJCZYK,0.002441414863138659
107,ANDRZEJEWSKA,0.0024392346745127033
108,KOWALEWSKA,0.002430315721042883
109,MUCHA,0.0023904777288776885
110,JAROSZ,0.002364117266400221
111,CIEŚLAK,0.0023571803025903616
112,ZIĘBA,0.0023551983129304014
113,KONIECZNA,0.002335576615296798
114,MARKOWSKA,0.002334783819432814
115,KOWALIK,0.0023234864783710425
116,KOŁODZIEJCZYK,0.002323288279405046
117,KOZIOŁ,0.0023228918814730544
118,MUSIAŁ,0.0022860268737977993
119,BRZOZOWSKA,0.0022717565482460876
120,DOMAŃSKA,0.0022469816774965887
121,ORŁOWSKA,0.0022122968584472897
122,TOMCZYK,0.0022071436853313936
123,PAWLIK,0.002203576103943466
124,PIĄTEK,0.002198026532895578
125,NOWACKA,0.002197233737031594
126,KRUK,0.00219049497218773
127,KOPEĆ,0.002190098574255738
128,TOMCZAK,0.002187323788731794
129,ŻAK,0.0021742426569760585
130,KUREK,0.0021692876828261587
131,KOT,0.002164332708676259
132,POLAK,0.002159774132458351
133,CIESIELSKA,0.002158981336594367
134,MARKIEWICZ,0.002157990341764387
135,WAWRZYNIAK,0.0021460984038046273
136,WOLSKA,0.0021411434296547275
137,WÓJTOWICZ,0.0021389632410287714
138,STANKIEWICZ,0.0021024946312855086
139,JASTRZĘBSKA,0.002056314272208442
140,SOWA,0.0020402601559627665
141,URBANIAK,0.002022620447989123
142,CZAJKOWSKA,0.002021827652125139
143,KARPIŃSKA,0.002018656468669203
144,KLIMEK,0.0020028005513895233
145,STASIAK,0.0020006203627635673
146,WIERZBICKA,0.0019980437762056194
147,NAWROCKA,0.0019964581844776515
148,PIASECKA,0.0019930888020557196
149,ŁUCZAK,0.0019928906030897238
150,DZIEDZIC,0.0019702959209661804
151,BIELECKA,0.0019391786833048092
152,SOSNOWSKA,0.0019366020967468613
153,BEDNAREK,0.0019320435205289533
154,MILEWSKA,0.0019300615308689934
155,JANICKA,0.0019286741381070215
156,GAJDA,0.0019191605877392137
157,STEFAŃSKA,0.0019175749960112457
158,MADEJ,0.0018920073293977626
159,MAJCHRZAK,0.0018680252545122472
160,LEŚNIAK,0.0018640612751923272
161,JÓŹWIAK,0.0018585117041444396
162,MAJ,0.0018515747403345796
163,URBAN,0.001840871996170796
164,KOWAL,0.00183472782822492
165,ŚLIWIŃSKA,0.0018315566447689843
166,SKIBA,0.0018212502985371925
167,MAŁECKA,0.0018123313450673728
168,BEDNARCZYK,0.0018091601616114369
169,SOCHA,0.001806385376087493
170,DOBROWOLSKA,0.0018014304019375931
171,MAREK,0.0017863672805218975
172,MICHALIK,0.0017604032159764223
173,ROMANOWSKA,0.0017536644511325584
174,DOMAGAŁA,0.0017395923245468428
175,WRONA,0.001737808533852879
176,RATAJCZAK,0.001734835549362939
177,KASPRZAK,0.001732853559702979
178,WILCZYŃSKA,0.001729682376247043
179,MATUSZEWSKA,0.0017213580196752114
180,ORZECHOWSKA,0.0017066912961915077
181,RYBAK,0.0017045111075655519
182,ŚWIĄTEK,0.001700547128245632
183,OLEJNICZAK,0.001694997557197744
184,PAJĄK,0.0016944029602997562
185,KUROWSKA,0.0016807272316460326
186,BUKOWSKA,0.0016747812626661527
187,SOBOLEWSKA,0.0016733938699041806
188,OWCZAREK,0.0016517901826106174
189,MAZURKIEWICZ,0.0016511955857126293
190,ROGOWSKA,0.0016486189991546814
191,ŁUKASIK,0.0016482226012226894
192,OLEJNIK,0.0016462406115627295
193,GRZELAK,0.0016387090508548816
194,KĘDZIERSKA,0.0016371234591269137
195,KOSIŃSKA,0.0016176999604593063
196,BARAŃSKA,0.0016163125676973344
197,MATUSIAK,0.0016020422421456227
198,SOBCZYK,0.0015853935290019593
199,SKOWROŃSKA,0.0015768709734641315
