,surname,frequency
0,NOWAK,0.020068488693868958
1,KOWALSKI,0.013583361927544895
2,WIŚNIEWSKI,0.010834680191425616
3,WÓJCIK,0.009739612824271495
4,KOWALCZYK,0.009593105379874605
5,KAMIŃSKI,0.009336262673904337
6,LEWANDOWSKI,0.009071538877821682
7,ZIELIŃSKI,0.008938974900546705
8,WOŹNIAK,0.008676676055267863
9,SZYMAŃSKI,0.008657276448837377
10,DĄBROWSKI,0.008477021772420792
11,KOZŁOWSKI,0.007404183120968267
12,MAZUR,0.00698971861275031
13,JANKOWSKI,0.00676015660332291
14,KWIATKOWSKI,0.0065140240967361375
15,WOJCIECHOWSKI,0.006439254780285311
16,KRAWCZYK,0.006189080689025521
17,KACZMAREK,0.0060755121597137265
18,PIOTROWSKI,0.005972653829785428
19,GRABOWSKI,0.005710557063740236
20,ZAJĄC,0.005489280302892522
21,PAWŁOWSKI,0.00542926277049821
22,KRÓL,0.005414106827974394
23,MICHALSKI,0.005319331667392131
24,WRÓBEL,0.005037229057215502
25,WIECZOREK,0.004935179044221807
26,JABŁOŃSKI,0.004907090030744334
27,NOWAKOWSKI,0.0048240354657138225
28,MAJEWSKI,0.004811304473993817
29,OLSZEWSKI,0.004739162187580453
30,DUDEK,0.004616500092754368
31,JAWORSKI,0.004604981576436268
32,STĘPIEŃ,0.004599525437127694
33,MALINOWSKI,0.00459164434701531
34,ADAMCZYK,0.004577700879893399
35,GÓRSKI,0.0044451369026184216
36,PAWLAK,0.004438670367141594
37,SIKORA,0.004420685315346665
38,NOWICKI,0.004406135610523802
39,WITKOWSKI,0.00432772886786726
40,RUTKOWSKI,0.004295396190483119
41,WALCZAK,0.004270742523977711
42,BARAN,0.004244270144369446
43,MICHALAK,0.004141815972908449
44,OSTROWSKI,0.004100995967710972
45,SZEWCZYK,0.004099581413075416
46,TOMASZEWSKI,0.00392862238140677
47,ZALEWSKI,0.0038692110867134116
48,WRÓBLEWSKI,0.0038162663274968808
49,PIETRZAK,0.0037639278059813028
50,JASIŃSKI,0.0037564508743362203
51,DUDA,0.0037081539374936596
52,MARCINIAK,0.003696029183474607
53,SADOWSKI,0.0036780441316796786
54,BĄK,0.0036645048230250694
55,ZAWADZKI,0.0036578362083145907
56,JAKUBOWSKI,0.0036343950172110884
57,WILK,0.00353153668728279
58,CHMIELEWSKI,0.0034886958897488033
59,BORKOWSKI,0.0034399947944389413
60,WŁODARCZYK,0.0034209993464757583
61,SOKOŁOWSKI,0.003361183893315098
62,SZCZEPAŃSKI,0.0033514840900998556
63,SAWICKI,0.0033345094344731816
64,LIS,0.0033187472542484126
65,KUCHARSKI,0.0032096244680769374
66,KALINOWSKI,0.0031748668398889858
67,WYSOCKI,0.003157690105028661
68,MAZUREK,0.003146979905645164
69,KUBIAK,0.0031283886161492832
70,MACIEJEWSKI,0.0031213158429715024
71,KOŁODZIEJ,0.003037250881772736
72,KAŹMIERCZAK,0.0029630878030228627
73,CZARNECKI,0.0029382320572838047
74,KONIECZNY,0.0028335550142526483
75,SOBCZAK,0.002832342538850743
76,KRUPA,0.002822844814869152
77,GŁOWACKI,0.0027806102550361174
78,URBAŃSKI,0.002766464708680556
79,MRÓZ,0.002763029361708491
80,KOZAK,0.00273756737826848
81,ZAKRZEWSKI,0.0027351424274646694
82,WASILEWSKI,0.0027333237143618116
83,KRAJEWSKI,0.0027286758919878415
84,LASKOWSKI,0.0027042243047160847
85,SIKORSKI,0.0026951307392017953
86,ZIÓŁKOWSKI,0.002665020933387814
87,GAJEWSKI,0.002651279545499554
88,SZULC,0.0026466317231255837
89,MAKOWSKI,0.002632688256003673
90,KACZMARCZYK,0.002600961816320485
91,BRZEZIŃSKI,0.002588634983067781
92,BARANOWSKI,0.0025876245868995265
93,PRZYBYLSKI,0.0025575147810855455
94,KANIA,0.002545794185533794
95,SZYMCZAK,0.002542762997029031
96,JANIK,0.0025354881446175994
97,BOROWSKI,0.0025302340845426764
98,ADAMSKI,0.0025255862621687063
99,BŁASZCZYK,0.0025187155682245763
100,GÓRECKI,0.002497295169457583
101,SZCZEPANIAK,0.002495678535588376
102,CHOJNACKI,0.0024506148664842297
103,KOZIOŁ,0.0024419254594372415
104,MUCHA,0.0024417233802035906
105,LESZCZYŃSKI,0.0024403088255680345
106,LIPIŃSKI,0.002438288033231526
107,ANDRZEJEWSKI,0.002429598626184538
108,KOWALEWSKI,0.002429194467717236
109,CZERWIŃSKI,0.002413836445959769
110,WESOŁOWSKI,0.002401307533473415
111,MIKOŁAJCZYK,0.0023962555526321427
112,ZIĘBA,0.002371601886126735
113,JAROSZ,0.002361700003677842
114,CIEŚLAK,0.002344523268817517
115,KOWALIK,0.0023216883154149677
116,MARKOWSKI,0.002321082077714015
117,MUSIAŁ,0.002320677919246713
118,KOŁODZIEJCZYK,0.0022873348456943178
119,KOPEĆ,0.0022729872201051053
120,BRZOZOWSKI,0.002256820881413035
121,NOWACKI,0.0022392399880854083
122,PIĄTEK,0.0022341880072441365
123,ŻAK,0.002224690283262545
124,DOMAŃSKI,0.0022186279062530187
125,PAWLIK,0.0022105447369069834
126,ORŁOWSKI,0.002207109389934918
127,KUREK,0.0022012490921590427
128,KOT,0.002197813745186978
129,WÓJTOWICZ,0.0021866993873361795
130,CIESIELSKI,0.0021846785949996704
131,TOMCZYK,0.0021834661195977655
132,TOMCZAK,0.0021798286933920495
133,KRUK,0.0021683101770739494
134,WAWRZYNIAK,0.0021497188875780684
135,POLAK,0.0021268839341755186
136,WOLSKI,0.0021145571009228152
137,MARKIEWICZ,0.0020937429398567744
138,SOWA,0.002082628582005976
139,STASIAK,0.0020500938253881842
140,JASTRZĘBSKI,0.0020331191697615103
141,KARPIŃSKI,0.0020262484758173803
142,STANKIEWICZ,0.002021802732677061
143,URBANIAK,0.002016750751835789
144,KLIMEK,0.0019888638175919672
145,PIASECKI,0.0019884596591246656
146,ŁUCZAK,0.0019785577766757725
147,CZAJKOWSKI,0.0019747182712364056
148,WIERZBICKI,0.0019682517357595773
149,NAWROCKI,0.001965826784955767
150,GAJDA,0.001955924902506874
151,DZIEDZIC,0.0019207631158516204
152,BIELECKI,0.0019203589573843188
153,BEDNAREK,0.0019112653918700291
154,STEFAŃSKI,0.0019102549957017746
155,MADEJ,0.0019086383618325676
156,MILEWSKI,0.0018965136078135149
157,JANICKI,0.0018870158838319234
158,SOSNOWSKI,0.0018712537036071548
159,KOWAL,0.001870647465906202
160,SKIBA,0.0018704453866725513
161,LEŚNIAK,0.0018653934058312793
162,MAJ,0.0018558956818496878
163,JÓŹWIAK,0.0018474083540363508
164,URBAN,0.0018472062748027
165,MAJCHRZAK,0.0018449834032325401
166,SOCHA,0.001811640329680145
167,ŚLIWIŃSKI,0.0018102257750445888
168,MAŁECKI,0.0018078008242407783
169,MAREK,0.0018029509226331572
170,BEDNARCZYK,0.0017987072587264887
171,DOMAGAŁA,0.0017920386440160095
172,KASPRZAK,0.0017631413136039336
173,DOBROWOLSKI,0.0017621309174356793
174,WRONA,0.001757078936594407
175,PAJĄK,0.0017435396279397981
176,MICHALIK,0.0017427313110051947
177,MATUSZEWSKI,0.0017378814093975735
178,RATAJCZAK,0.0017259587346121715
