,name,gender,frequency
0,ANNA,F,0.026880144860919254
0,PIOTR,M,0.01727443306319767
1,KRZYSZTOF,M,0.01607386631810711
1,KATARZYNA,F,0.01515532888291383
2,MARIA,F,0.014674671146657397
3,MAŁGORZATA,F,0.014465191583708098
4,AGNIESZKA,F,0.013720172092510625
2,TOMASZ,M,0.013451750558983896
3,ANDRZEJ,M,0.013360706265145543
4,PAWEŁ,M,0.012680693352042397
5,MICHAŁ,M,0.012332028540544182
5,BARBARA,F,0.012027845870957081
6,JAN,M,0.011974968507896545
6,EWA,F,0.011931238176834632
7,MARCIN,M,0.011267314015904408
7,MAGDALENA,F,0.010890556539007681
8,JAKUB,M,0.010693481855070215
8,ELŻBIETA,F,0.010405037092593074
9,JOANNA,F,0.010124461283670914
10,KRYSTYNA,F,0.010121228497019345
9,ADAM,M,0.010066095701411204
11,ALEKSANDRA,F,0.009766499078004235
10,ŁUKASZ,M,0.00961270363861916
11,MAREK,M,0.009472841760305961
12,MONIKA,F,0.009471438380054117
12,MATEUSZ,M,0.009448032002282298
13,GRZEGORZ,M,0.009393124749928917
13,ZOFIA,F,0.009252937086914397
14,STANISŁAW,M,0.00917660322535876
15,WOJCIECH,M,0.008403014921891614
14,TERESA,F,0.00821859572058238
15,NATALIA,F,0.007947467667998524
16,JULIA,F,0.007708617361207071
17,DANUTA,F,0.007436912920305494
18,KAROLINA,F,0.007376116482966698
19,MARTA,F,0.007261816173526364
16,MARIUSZ,M,0.007189040883323617
17,DARIUSZ,M,0.007116666558907111
20,BEATA,F,0.007017978854768538
21,DOROTA,F,0.006723419364051222
18,MACIEJ,M,0.0067092351993629454
19,RAFAŁ,M,0.006559950625073082
20,ZBIGNIEW,M,0.006554186741895868
21,ROBERT,M,0.006497750807482443
22,ALICJA,F,0.0063353095433315455
22,KAMIL,M,0.006291754634801114
23,SZYMON,M,0.006025262749120669
24,DAWID,M,0.005978550235023589
23,HALINA,F,0.005965844631672077
24,JOLANTA,F,0.005938428596037847
25,JERZY,M,0.0059382531735063665
25,IWONA,F,0.005827486375057282
26,JADWIGA,F,0.005810094484079077
26,JACEK,M,0.005793003317440554
27,GRAŻYNA,F,0.005718122956860041
27,KACPER,M,0.00571381257465795
28,PAULINA,F,0.005615174991242656
29,ZUZANNA,F,0.005614347999308535
30,HANNA,F,0.005578887587587843
31,JANINA,F,0.005443035367137055
32,JUSTYNA,F,0.005431031453911464
33,IRENA,F,0.005247614667067833
34,WIKTORIA,F,0.005151357818008346
28,JÓZEF,M,0.0051279263798748856
29,BARTOSZ,M,0.005115346078331574
30,RYSZARD,M,0.0050418941583645445
35,BOŻENA,F,0.00498164904898183
31,TADEUSZ,M,0.0049795439786040644
32,ARTUR,M,0.004933457973547987
33,JAROSŁAW,M,0.004777607584508427
36,RENATA,F,0.0047070877268532854
34,SEBASTIAN,M,0.004659072073950922
35,SŁAWOMIR,M,0.004625491189353236
37,URSZULA,F,0.004620930203534744
38,AGATA,F,0.004612334499492202
36,DAMIAN,M,0.004609703161519995
39,SYLWIA,F,0.0045723381623146596
37,JANUSZ,M,0.004521866593971569
38,PATRYK,M,0.004510464129425341
40,MAJA,F,0.004504098797568764
39,MIROSŁAW,M,0.004489162822031286
40,ROMAN,M,0.004383182552655454
41,FILIP,M,0.004272140090228328
42,DANIEL,M,0.00426076268604374
43,ANTONI,M,0.00425717905432921
41,PATRYCJA,F,0.004246352978100702
44,KAROL,M,0.004153729881479024
45,PRZEMYSŁAW,M,0.004152552044481941
42,HELENA,F,0.00410501253845074
43,EMILIA,F,0.0040471481634238304
46,HENRYK,M,0.00403133507522895
44,OLIWIA,F,0.004005397600931483
45,IZABELA,F,0.003994847188681016
47,ALEKSANDER,M,0.003871901054474861
